r_id,feedback_id,v_id,v_type,questions,answers
R0001,F0001,V0129,Four wheeler,rate the cleanliness of your cab,2
R0001,F0001,V0129,Four wheeler,how was the drivers behavior,1
R0002,F0002,V0224,Auto,rate the cleanliness of your cab,1
R0002,F0002,V0224,Auto,how was the drivers behavior,3
R0003,F0003,V0265,Four wheeler,rate the cleanliness of your cab,1
R0003,F0003,V0265,Four wheeler,how was the drivers behavior,3
R0004,F0004,V0759,Auto,rate the cleanliness of your cab,4
R0004,F0004,V0759,Auto,how was the drivers behavior,1
R0005,F0005,V0313,Auto,rate the cleanliness of your cab,2
R0005,F0005,V0313,Auto,how was the drivers behavior,4
R0006,F0006,V0112,Auto,rate the cleanliness of your cab,1
R0006,F0006,V0112,Auto,how was the drivers behavior,1
R0007,F0007,V0574,Four wheeler,rate the cleanliness of your cab,4
R0007,F0007,V0574,Four wheeler,how was the drivers behavior,1
R0008,F0008,V0393,Auto,rate the cleanliness of your cab,3
R0008,F0008,V0393,Auto,how was the drivers behavior,1
R0009,F0009,V0390,Auto,rate the cleanliness of your cab,2
R0009,F0009,V0390,Auto,how was the drivers behavior,3
R0010,F0010,V0053,Auto,rate the cleanliness of your cab,4
R0010,F0010,V0053,Auto,how was the drivers behavior,3
R0011,F0011,V0709,Auto,rate the cleanliness of your cab,4
R0011,F0011,V0709,Auto,how was the drivers behavior,2
R0013,F0013,V0018,Auto,rate the cleanliness of your cab,4
R0013,F0013,V0018,Auto,how was the drivers behavior,3
R0014,F0014,V0371,Auto,rate the cleanliness of your cab,2
R0014,F0014,V0371,Auto,how was the drivers behavior,4
R0015,F0015,V0111,Auto,rate the cleanliness of your cab,4
R0015,F0015,V0111,Auto,how was the drivers behavior,2
R0016,F0016,V0319,Four wheeler,rate the cleanliness of your cab,2
R0016,F0016,V0319,Four wheeler,how was the drivers behavior,3
R0017,F0017,V0421,Auto,rate the cleanliness of your cab,1
R0017,F0017,V0421,Auto,how was the drivers behavior,2
R0018,F0018,V0356,Four wheeler,rate the cleanliness of your cab,1
R0018,F0018,V0356,Four wheeler,how was the drivers behavior,1
R0022,F0022,V0337,Auto,rate the cleanliness of your cab,2
R0022,F0022,V0337,Auto,how was the drivers behavior,3
R0026,F0026,V0465,Four wheeler,rate the cleanliness of your cab,2
R0026,F0026,V0465,Four wheeler,how was the drivers behavior,2
R0027,F0027,V0842,Auto,rate the cleanliness of your cab,3
R0027,F0027,V0842,Auto,how was the drivers behavior,4
R0028,F0028,V0523,Auto,rate the cleanliness of your cab,3
R0028,F0028,V0523,Auto,how was the drivers behavior,3
