r_id,r_pass_id,r_d_id,r_booked_time,r_status,r_start_time,r_pickup_location,r_drop_location,dist_covered_km,r_drop_location_changed,r_drop_location_changed_to,extra_dist_covered_km,total_dist_covered_km,r_drop_time,ride_fare,ride_tip,ride_cancelled_by_whom,cancellation_reason,penalty,payment_mode,payment_method,payment_mode_changed,payment_mode_changed_to,payment_status,driver_rating,r_v_id,r_shift,ride_surge_charge,coupons_alloted,coupon_used,ride_coupon_id,coupon_discount,coupon_amount,final_amount
R3001,P1346,D1128,2021-03-18 20:46:13,1,2021-03-18 21:08:47,Vijay Nagar,AB Road (Agra Bombay Road),15,Y,Bhawarkuan,8,23,2021-03-18 21:53:51,115,20,NA,NA,0,cash,cash,N,same mode,completed,4.4,V1523,Night,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,135.0
R3002,P2108,D0860,2021-11-02 19:47:45,1,2021-11-02 20:16:58,Bhawarkuan,Geeta Bhawan,12,N,location not changed,0,12,2021-11-02 20:40:31,60,20,NA,NA,0,online,credit card,N,same mode,completed,3.9,V1549,Evening,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,80.0
R3003,P1460,D0851,2021-10-04 21:40:00,0,NA,Bhawarkuan,Bengali Square,0,NA,NA,0,0,NA,0,0,D,Passenger Unreachable,0,NA,NA,NA,NA,NA,NA,V1735,Night,0.0,"['C0827', 'C0927', 'C0962']",No coupon alloted,No coupon_used,0.0,0.0,0.0
R3004,P1694,D1187,2021-09-18 05:51:24,1,2021-09-18 06:11:13,Rau,New Palasia,11,Y,Manorama Ganj,16,27,2021-09-18 06:47:07,135,10,NA,NA,0,online,upi,N,same mode,completed,3.9,V1151,Early Morning,33.75,['-'],No coupon alloted,No coupon_used,0.0,0.0,178.75
R3005,P1606,D1224,2021-09-29 12:02:52,1,2021-09-29 12:22:10,Khandwa Road,Scheme No. 54,18,Y,New Palasia,16,34,2021-09-29 12:34:09,170,10,NA,NA,0,cash,cash,N,same mode,completed,1.5,V1056,Noon,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,180.0
R3006,P1694,D1618,2021-12-29 11:40:32,1,2021-12-29 12:06:45,Rajendra Nagar,Annapurna Road,11,Y,Vijay Nagar,7,18,2021-12-29 12:26:45,90,10,NA,NA,0,cash,cash,N,same mode,completed,2.6,V1250,Morning,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,100.0
R3007,P1972,D1149,2021-01-17 13:10:07,1,2021-01-17 13:32:28,Rau,Nipania,17,N,location not changed,0,17,2021-01-17 13:48:24,85,10,NA,NA,0,online,wallet,N,same mode,completed,1.0,V0910,Noon,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,95.0
R3008,P1630,D0930,2021-05-26 07:24:49,1,2021-05-26 07:46:47,Vijay Nagar,Khandwa Road,10,N,location not changed,0,10,2021-05-26 08:44:08,50,0,NA,NA,0,cash,cash,Y,online,completed,1.5,V1731,Early Morning,12.5,"['C0665', 'C0834', 'C1007']",N,No coupon_used,0.0,0.0,62.5
R3009,P1672,D0964,2021-03-25 06:13:18,0,NA,Navlakha,Rau,0,NA,NA,0,0,NA,0,0,D,Bad Location,0,NA,NA,NA,NA,NA,NA,V0875,Early Morning,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,0.0
R3010,P1468,D1008,2021-12-30 21:26:23,0,NA,Scheme No. 54,Nipania,0,NA,NA,0,0,NA,0,0,Pass,No cab available,20,NA,NA,NA,NA,NA,NA,V1147,Night,0.0,['C0815'],No coupon alloted,No coupon_used,0.0,0.0,0.0
R3011,P1847,D1104,2021-05-03 03:30:58,1,2021-05-03 03:53:11,Khandwa Road,Bengali Square,17,Y,Geeta Bhawan,13,30,2021-05-03 04:47:44,150,0,NA,NA,0,online,upi,N,same mode,completed,2.8,V1560,Mid Night,37.5,['-'],No coupon alloted,No coupon_used,0.0,0.0,187.5
R3012,P1502,D1310,2021-09-08 06:41:14,1,2021-09-08 07:00:58,AB Road (Agra Bombay Road),Geeta Bhawan,4,N,location not changed,0,4,2021-09-08 07:14:22,20,50,NA,NA,0,online,wallet,N,same mode,completed,2.7,V1258,Early Morning,5.0,['C0953'],Y,C0953,5.0,1.0,74.0
R3013,P1590,D0944,2021-01-23 06:59:38,1,2021-01-23 07:22:38,Annapurna Road,AB Road (Agra Bombay Road),16,N,location not changed,0,16,2021-01-23 08:05:06,80,50,NA,NA,0,online,upi,N,same mode,completed,1.6,V1214,Early Morning,20.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,150.0
R3014,P1116,D1113,2021-02-02 17:04:29,0,NA,Navlakha,Khandwa Road,0,NA,NA,0,0,NA,0,0,Pass,Changed Mood,20,NA,NA,NA,NA,NA,NA,V1171,Evening,0.0,['C0905'],No coupon alloted,No coupon_used,0.0,0.0,0.0
